game_date,home_points,away_points,home_possessions,away_possessions,home_id,away_id,winner_id,season_id
2013-03-30,100,92,88,87,14,3,14,4
2013-04-10,101,124,99,98,14,30,30,4
2013-04-14,91,77,90,89,14,28,14,4
2012-11-02,102,89,93,94,6,26,6,4
2012-11-04,115,94,95,95,6,13,6,4
2012-11-09,68,107,87,86,6,22,22,4
2012-11-13,89,99,90,90,6,7,7,4
2012-11-21,90,74,95,94,6,4,6,4
2012-11-23,108,104,92,91,6,28,6,4
2012-11-25,110,116,106,105,6,1,1,4
2012-11-28,89,110,94,95,6,10,10,4
2012-11-30,86,98,85,84,6,22,22,4
2012-12-12,80,86,89,90,6,30,30,4
2012-12-14,99,85,92,93,6,2,6,4
2012-12-17,102,93,96,96,6,20,6,4
2012-12-19,90,83,90,90,6,15,6,4
2012-12-23,93,97,88,89,6,17,17,4
2012-12-26,94,97,84,85,6,19,19,4
2012-12-29,88,123,88,87,6,8,8,4
2012-12-31,110,112,93,93,6,24,24,4
2013-01-02,94,96,85,84,6,25,25,4
2013-01-05,106,114,92,92,6,7,7,4
2013-01-16,97,86,90,91,6,5,6,4
2013-01-18,100,106,92,92,6,3,3,4
2013-01-20,105,111,96,95,6,23,23,4
2013-01-24,95,97,89,89,6,8,8,4
2013-01-27,102,104,91,91,6,4,4,4
2013-02-06,76,86,91,92,6,12,12,4
2013-02-10,110,104,92,92,6,16,6,4
2013-02-13,76,108,92,94,6,30,30,4
2013-02-19,92,105,95,95,6,3,3,4
2013-02-23,94,118,90,90,6,28,28,4
2013-02-27,101,125,102,102,6,11,11,4
2013-03-01,110,118,94,94,6,9,9,4
2013-03-03,82,108,87,87,6,21,21,4
2013-03-08,86,115,93,92,6,5,5,4
2013-03-10,99,91,92,92,6,14,6,4
2013-03-12,97,106,94,94,6,27,27,4
2013-03-22,89,97,99,97,6,29,29,4
2013-03-25,94,108,90,90,6,24,24,4
2013-03-29,97,92,90,90,6,15,6,4
2013-04-10,113,103,108,107,6,18,6,4
2013-04-13,88,120,94,96,6,1,1,4
2013-04-15,84,102,86,87,6,25,25,4
2012-11-06,109,97,92,92,26,4,26,4
2012-11-09,104,84,97,99,26,17,26,4
2012-11-15,93,98,84,85,26,24,24,4
2012-11-23,102,91,90,90,26,2,26,4
2012-11-25,102,84,90,89,26,19,26,4
2012-12-03,113,110,99,99,26,8,26,4
2012-12-14,99,94,90,91,26,21,26,4
2012-12-18,112,106,106,107,26,10,26,4
2012-12-22,110,88,95,95,26,3,26,4
2012-12-26,126,114,95,95,26,27,26,4
2013-01-01,92,78,88,88,26,12,26,4
2013-01-03,97,101,88,88,26,20,20,4
2013-01-05,110,91,97,95,26,17,26,4
2013-01-09,108,105,96,96,26,6,26,4
2013-01-11,98,91,96,96,26,28,26,4
2013-01-13,116,105,98,97,26,2,26,4
2013-01-15,115,111,101,99,26,16,26,4
2013-01-18,108,112,98,98,26,15,15,4
2013-01-20,121,118,110,111,26,29,26,4
2013-01-26,121,93,100,100,26,11,26,4
2013-01-28,102,101,94,93,26,5,26,4
2013-01-30,118,110,106,107,26,9,26,4
2013-02-01,113,98,92,92,26,19,26,4
2013-02-05,112,104,103,104,26,18,26,4
2013-02-07,128,96,90,91,26,25,26,4
2013-02-19,97,90,89,91,26,1,26,4
2013-02-25,119,108,97,96,26,27,26,4
2013-03-01,105,103,102,103,26,29,26,4
2013-03-04,104,88,94,94,26,30,26,4
2013-03-07,107,92,87,88,26,12,26,4
2013-03-09,111,88,101,101,26,20,26,4
2013-03-13,117,94,95,96,26,7,26,4
2013-03-15,87,80,86,88,26,21,26,4
2013-03-21,101,100,95,96,26,14,26,4
2013-03-23,101,95,97,97,26,11,26,4
2013-03-29,109,87,91,91,26,22,26,4
2013-04-04,95,94,88,88,26,23,26,4
2013-04-06,132,114,101,100,26,9,26,4
2013-04-10,96,86,95,94,26,10,26,4
2013-04-14,118,109,103,104,26,16,26,4
2013-04-17,118,98,100,100,26,13,26,4
2012-10-31,93,87,96,96,25,11,25,4
2012-11-03,82,89,89,89,25,19,19,4
2012-11-06,99,93,91,90,25,6,25,4
2012-11-08,91,97,97,96,25,29,29,4
2012-11-10,87,80,85,85,25,20,25,4
2012-11-12,95,101,90,90,25,1,1,4
2012-11-26,92,93,85,86,25,18,18,4
2012-11-28,101,78,91,90,25,23,25,4
2012-12-01,93,88,89,89,25,14,25,4
2012-12-04,76,80,86,85,25,5,5,4
2012-12-08,93,85,94,94,25,7,25,4
2012-12-11,89,94,91,90,25,12,12,4
2012-12-15,83,82,84,85,25,22,25,4
2012-12-18,100,89,85,85,25,1,25,4
2012-12-25,97,120,93,93,25,9,9,4
2012-12-29,87,77,90,91,25,15,25,4
2012-12-31,81,91,96,95,25,3,3,4
2013-01-07,118,92,93,93,25,28,25,4
2013-01-09,96,104,96,96,25,18,18,4
2013-01-12,81,97,88,90,25,13,13,4
2013-01-14,97,58,89,88,25,30,25,4
2013-01-19,82,85,92,91,25,21,21,4
2013-01-21,95,83,90,91,25,27,25,4
2013-01-23,85,82,81,82,25,4,25,4
2013-01-25,103,87,91,91,25,2,25,4
2013-01-28,93,85,84,83,25,3,25,4
2013-02-11,89,103,88,88,25,10,10,4
2013-02-21,67,86,88,89,25,24,24,4
2013-02-26,98,101,86,86,25,28,28,4
2013-02-28,93,82,92,93,25,14,25,4
2013-03-02,96,85,91,91,25,22,25,4
2013-03-08,89,88,86,85,25,17,25,4
2013-03-18,118,119,105,104,25,26,26,4
2013-03-21,89,99,90,91,25,16,16,4
2013-03-23,87,84,86,86,25,5,25,4
2013-03-27,101,97,92,91,25,24,25,4
2013-03-31,95,94,87,89,25,4,25,4
2013-04-05,87,86,88,87,25,6,25,4
2013-04-09,98,101,85,83,25,8,8,4
2013-04-11,118,111,101,102,25,7,25,4
2013-04-17,95,92,88,90,25,15,25,4
2012-10-30,120,107,96,97,24,1,24,4
2012-11-03,119,116,96,96,24,26,24,4
2012-11-05,124,99,101,102,24,13,24,4
2012-11-07,103,73,89,88,24,22,24,4
2012-11-21,113,106,104,105,24,18,24,4
2012-11-24,110,108,91,90,24,28,24,4
2012-11-29,105,100,94,96,24,10,24,4
2012-12-01,102,89,89,88,24,22,24,4
2012-12-06,92,112,94,94,24,7,7,4
2012-12-08,106,90,92,91,24,19,24,4
2012-12-10,101,92,90,90,24,30,24,4
2012-12-12,95,97,94,94,24,2,2,4
2012-12-15,102,72,89,90,24,15,24,4
2012-12-18,103,92,90,88,24,20,24,4
2012-12-22,105,89,93,92,24,17,24,4
2012-12-25,103,97,90,91,24,29,24,4
2013-01-02,119,109,104,104,24,23,24,4
2013-01-04,89,96,84,85,24,25,25,4
2013-01-06,99,71,85,84,24,15,24,4
2013-01-23,123,116,97,97,24,8,24,4
2013-01-25,110,88,89,90,24,4,24,4
2013-02-04,99,94,88,88,24,3,24,4
2013-02-06,114,108,94,94,24,9,24,4
2013-02-08,111,89,87,86,24,12,24,4
